# Dangle 5P DG
  -0.30  -0.10  -0.20  -0.20
  -0.20  -0.30   0.00   0.00
  -0.50  -0.30  -0.20  -0.10
  -0.30  -0.10  -0.20  -0.20
  -0.30  -0.30  -0.40  -0.20
  -0.30  -0.30  -0.40  -0.20
# Dangle 5P DH
  -0.50   6.90  -0.60  -0.60
  -1.60   0.70  -4.60  -0.40
  -2.40   3.30   0.80  -1.40
  -1.50   5.10   0.10   1.00
   1.60   2.20   0.70   3.10
   1.60   2.20   0.70   3.10
# Dangle 3P DG
  -0.80  -0.50  -0.80  -0.60
  -1.70  -0.80  -1.70  -1.20
  -1.10  -0.40  -1.30  -0.60
  -0.80  -0.50  -0.80  -0.60
  -0.70  -0.10  -0.70  -0.10
  -0.70  -0.10  -0.70  -0.10
# Dangle 3P DH
  -4.90  -0.90  -5.50  -2.30
  -9.00  -4.10  -8.60  -7.50
  -7.40  -2.80  -6.40  -3.60
  -4.90  -0.90  -5.50  -2.30
  -5.70  -0.70  -5.80  -2.20
  -7.40  -2.40  -7.20  -4.90
# BP Stacking DG
  -0.90  -2.20  -2.10  -0.60  -1.10  -1.40
  -2.10  -3.30  -2.40  -1.40  -2.10  -2.10
  -2.40  -3.40  -3.30  -1.50  -2.20  -2.50
  -1.30  -2.50  -2.10  -0.50  -1.40   1.30
  -1.30  -2.40  -2.10  -1.00  -0.90  -1.30
  -1.00  -1.50  -1.40   0.30  -0.60  -0.50
# BP Stacking DH
  -6.80 -11.40 -10.50  -3.20  -9.40  -8.80
 -10.40 -13.40 -10.60  -5.60 -10.50 -12.10
 -12.40 -14.90 -13.40  -8.30 -11.40 -12.60
 -12.80 -12.60 -12.10 -13.50  -8.80 -14.60
  -7.70 -12.40 -10.40  -7.00  -6.80 -12.80
  -7.00  -8.30  -5.60  -9.30  -3.20 -13.50
# HP Stacking DG
  -0.30  -0.50  -0.30  -0.30  -0.10  -0.20  -1.50  -0.20  -1.10  -1.20  -0.20   0.20  -0.30  -0.30  -0.60  -1.10
  -1.50  -1.50  -1.40  -1.80  -1.00  -0.90  -2.90  -0.80  -2.20  -2.00  -1.60  -1.10  -1.70  -1.40  -1.80  -2.00
  -1.10  -1.50  -1.30  -2.10  -1.10  -0.70  -2.40  -0.50  -2.40  -2.90  -1.40  -1.20  -1.90  -1.00  -2.20  -1.50
   0.20  -0.50  -0.30  -0.30  -0.10  -0.20  -1.50  -0.20  -0.90  -1.10  -0.30   0.00  -0.30  -0.30  -0.40  -1.10
  -0.50  -0.30  -0.60  -0.50  -0.20  -0.10  -1.20   0.00  -1.40  -1.20  -0.70  -0.20  -0.30  -0.10  -0.50  -0.80
  -0.50  -0.30  -0.60  -0.50  -0.20  -0.10  -1.70   0.00  -0.80  -1.20  -0.30  -0.70  -0.60  -0.10  -0.60  -0.80
# HP Stacking DH
  -4.30  -6.00  -6.00  -6.00  -2.60  -2.40  -2.40  -2.40  -3.40  -6.90  -6.90  -6.90  -3.30  -3.30  -3.30  -3.30
 -10.30  -9.50 -10.30 -10.30  -5.20  -4.50  -5.20  -6.70  -9.40  -9.40  -9.40  -9.40  -8.10  -7.40  -8.10  -8.60
  -5.20  -8.80  -5.60  -8.80  -7.20  -3.10  -3.10  -3.90  -7.10  -7.40  -6.20  -7.40  -5.00  -5.00  -5.00  -5.70
  -4.30  -6.00  -6.00  -6.00  -2.60  -2.40  -2.40  -2.40  -3.40  -6.90  -6.90  -6.90  -3.30  -3.30  -3.30  -3.30
  -4.00  -6.30  -8.90  -5.90  -4.30  -5.10  -2.00  -1.80  -3.80  -6.80  -8.90  -6.80  -2.80  -1.40  -2.80  -1.40
  -7.20  -7.90  -9.60  -8.10  -4.80  -4.80  -3.60  -4.80  -6.60  -8.10  -9.20  -8.10  -5.50  -4.40  -5.50  -3.60
# IN Stacking DG
   0.70   0.70  -0.40   0.70   0.70   0.70   0.70   0.70  -0.40   0.70   0.70   0.70   0.70   0.70   0.70   0.00
   0.00   0.00  -1.10   0.00   0.00   0.00   0.00   0.00  -1.10   0.00   0.00   0.00   0.00   0.00   0.00  -0.70
   0.00   0.00  -1.10   0.00   0.00   0.00   0.00   0.00  -1.10   0.00   0.00   0.00   0.00   0.00   0.00  -0.70
   0.70   0.70  -0.40   0.70   0.70   0.70   0.70   0.70  -0.40   0.70   0.70   0.70   0.70   0.70   0.70   0.00
   0.70   0.70  -0.40   0.70   0.70   0.70   0.70   0.70  -0.40   0.70   0.70   0.70   0.70   0.70   0.70   0.00
   0.70   0.70  -0.40   0.70   0.70   0.70   0.70   0.70  -0.40   0.70   0.70   0.70   0.70   0.70   0.70   0.00
# IN Stacking DH
  -4.30  -6.00  -6.00  -6.00  -2.60  -2.40  -2.40  -2.40  -3.40  -6.90  -6.90  -6.90  -3.30  -3.30  -3.30  -3.30
 -10.30  -9.50 -10.30 -10.30  -5.20  -4.50  -5.20  -6.70  -9.40  -9.40  -9.40  -9.40  -8.10  -7.40  -8.10  -8.60
  -5.20  -8.80  -5.60  -8.80  -7.20  -3.10  -3.10  -3.90  -7.10  -7.40  -6.20  -7.40  -5.00  -5.00  -5.00  -5.70
  -4.30  -6.00  -6.00  -6.00  -2.60  -2.40  -2.40  -2.40  -3.40  -6.90  -6.90  -6.90  -3.30  -3.30  -3.30  -3.30
  -4.00  -6.30  -8.90  -5.90  -4.30  -5.10  -2.00  -1.80  -3.80  -6.80  -8.90  -6.80  -2.80  -1.40  -2.80  -1.40
  -7.20  -7.90  -9.60  -8.10  -4.80  -4.80  -3.60  -4.80  -6.60  -8.10  -9.20  -8.10  -5.50  -4.40  -5.50  -3.60
# 1/1 Internal Loop DG
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.50
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.00
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.20
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   0.40  -0.40   0.40   0.40   0.30   0.50   0.40   0.50  -0.10   0.40  -1.70   0.40   0.40   0.00   0.40  -0.30
   1.10   0.40   0.40   0.40   0.40   0.40   0.40   0.40   0.40   0.40  -1.40   0.40   0.40   0.40   0.40   0.40
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   0.80   0.40   0.40   0.40   0.40   0.40   0.40   0.40   0.40   0.40  -2.10   0.40   0.40   0.40   0.40  -0.70
   0.40   0.30  -0.10   0.40  -0.40   0.50   0.40   0.00   0.40   0.40  -1.70   0.40   0.40   0.50   0.40  -0.30
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.00
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.80
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.50
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10   1.10  -1.00   1.10   1.10   1.10   1.10   1.10
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70   1.70  -0.40   1.70   1.70   1.70   1.70   1.70
# 1/1 Internal Loop DH
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
